Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2010-11-18,14.757318496704102,14.841920776310085,14.559419690373563,14.570304825644133,103988318
2010-11-19,14.61557388305664,14.790219114206632,14.603452661771339,14.768202573802197,92244464
2010-11-22,14.625222206115723,14.680139479308075,14.415697544879972,14.532457015535694,87791837
2010-11-23,14.422126770019531,14.57055181968641,14.303140460261057,14.521077118861584,86828238
2010-11-24,14.717986106872559,14.758309034694516,14.522065988494386,14.528498372108558,96215292
2010-11-26,14.595041275024414,14.668759364391397,14.520829698421986,14.606420844403749,52640573
2010-11-29,14.399864196777344,14.59009453350703,14.346431178017784,14.574509429439281,114816754
2010-11-30,13.746797561645508,14.207160539505256,13.687427541642073,14.207160539505256,285763111
2010-12-01,13.960528373718262,14.139132876281254,13.912290703869482,13.927133209544868,150726852
2010-12-02,14.145317077636719,14.182670559006452,13.985266180969477,14.067147179308254,102298006
2010-12-03,14.174507141113281,14.260592723609765,14.050819914187624,14.086689143692595,105642495
2010-12-06,14.307101249694824,14.397146111117317,14.263810760593119,14.361770363109036,84065923
2010-12-07,14.524292945861816,14.669254113993983,14.49609218621388,14.626458066487416,122144116
2010-12-08,14.608400344848633,14.657380613287627,14.438949511115013,14.643775141031092,70539412
2010-12-09,14.632147789001465,14.733075875908796,14.570304649568623,14.69102337462378,75036204
2010-12-10,14.649712562561035,14.693744698936136,14.602216543321397,14.672717973284,68443585
2010-12-13,14.709328651428223,14.91662739050608,14.696217614279066,14.771171790173025,96299607
2010-12-14,14.716503143310547,14.800115612874924,14.656391466531833,14.770430600344081,65978380
2010-12-15,14.602462768554688,14.75459797125029,14.574014791828937,14.698939051081197,87033003
2010-12-16,14.63734245300293,14.68830235258968,14.547298552437606,14.665544160225767,64115423
2010-12-17,14.61483097076416,14.658369616200648,14.537402728776478,14.619778156621418,123946848
2010-12-20,14.72021198272705,14.789971755949539,14.561893508677535,14.710070393677734,79227857
2010-12-21,14.91835880279541,14.959176164576226,14.78329200916631,14.807040964029753,75461793
2010-12-22,14.97822380065918,15.015577281217,14.92355374814786,14.941365701740766,48481040
2010-12-23,14.947053909301758,14.990838824594116,14.892632023500743,14.97451301660772,44598542
2010-12-27,14.901290893554688,14.935922142975068,14.830046868162112,14.910195449536335,48505130
2010-12-28,14.815698623657227,14.938148817269221,14.79318764876314,14.89312686748105,42751645
2010-12-29,14.867154121398926,14.902033537557134,14.815699783902664,14.891891947593907,40920808
2010-12-30,14.814214706420898,14.875315244892477,14.777850096797124,14.792939818507802,39728356
2010-12-31,14.693248748779297,14.803330499150233,14.645257352828168,14.761771486602584,61802787
2011-01-03,14.95002269744873,14.980696576306247,14.755339612013403,14.755339612013403,94962614
2011-01-04,14.894858360290527,14.995292013617266,14.845383658884215,14.981440271742095,73253547
2011-01-05,15.066783905029297,15.097952218017467,14.843652845072569,14.844147279503368,101671667
2011-01-06,15.176368713378906,15.298324465397483,15.091024787563383,15.106608943424993,82620526
2011-01-07,15.249096870422363,15.293872550003822,15.0930052444927,15.235986780282598,84363033
2011-01-10,15.19393253326416,15.223123107405925,15.054166723048999,15.208527820335043,63404769
2011-01-11,15.238460540771484,15.307477714302745,15.20110706166109,15.280513988523367,57787794
2011-01-12,15.259735107421875,15.321084764875355,15.20778728260516,15.321084764875355,65552790
2011-01-13,15.255282402038574,15.328999547456679,15.192696662083273,15.262208273102566,53560006
2011-01-14,15.440567016601562,15.442793866220336,15.264931948860008,15.27284763676477,94978674
2011-01-18,15.822757720947266,15.881136979382521,15.467528353909472,15.487070828193733,145222296
2011-01-19,15.627826690673828,15.905132434605244,15.57612608534053,15.884353873895929,136754676
2011-01-20,15.504633903503418,15.685464297006279,15.418548323165318,15.639205315077994,220254485
2011-01-21,15.135059356689453,15.874706786612448,15.12343256935317,15.821520983295175,357511035
2011-01-24,15.11650562286377,15.1513850373846,14.872842261288316,15.029678385999349,184657557
2011-01-25,15.33493709564209,15.35423140498054,15.003702963586859,15.04526197765332,146418764
2011-01-26,15.250582695007324,15.398759587254204,15.220403249215572,15.345326566853592,81829572
2011-01-27,15.257756233215332,15.329740962564147,15.170185452635765,15.284967176986653,81070738
2011-01-28,14.86690616607666,15.346069036266666,14.836479503312562,15.314157175755966,169878368
2011-01-31,14.85132122039795,14.952990957171734,14.732333965155076,14.931469798875163,112616538
2011-02-01,15.11551570892334,15.172658877866093,14.919348378771675,14.953485192057107,110223602
2011-02-02,15.139263153076172,15.197149869503752,15.028686964928248,15.11452627631761,70691981
2011-02-03,15.093500137329102,15.125658267800391,14.994056297621288,15.076926164044465,60028160
2011-02-04,15.114031791687012,15.125411361874447,15.005929663676204,15.093500447972772,62264511
2011-02-07,15.19591236114502,15.2973348850755,15.070246446943981,15.093747238348664,72253814
2011-02-08,15.297086715698242,15.328009705067196,15.201353982659365,15.21174278859555,68050116
2011-02-09,15.250582695007324,15.323557242811415,15.14767497144807,15.259734468444016,73976246
2011-02-10,15.249096870422363,15.275319892279121,15.128379092217552,15.186264861938776,93725996
2011-02-11,15.448480606079102,15.460849044348835,15.164000842720855,15.183543316176296,103984303
2011-02-14,15.538772583007812,15.575630682647198,15.338152487047081,15.419785320786982,85439051
2011-02-15,15.439824104309082,15.586763971620236,15.413850191503172,15.51824217159817,83993653
2011-02-16,15.44155502319336,15.497955598754563,15.389111817767256,15.476435385860944,67612482
2011-02-17,15.46728229522705,15.516509784058842,15.344090438122016,15.368085665832625,59373716
2011-02-18,15.586514472961426,15.613725415192816,15.440564443178344,15.485586390621343,129198459
